e,E,s,t,p,q,T,m,M
trade,1752424097975,BTCUSDT,5081837320,118840.85000000,0.00025000,1752424097974,False,True
trade,1752424098092,BTCUSDT,5081837321,118840.84000000,0.00083000,1752424098092,True,True
trade,1752424098093,BTCUSDT,5081837322,118840.84000000,0.00252000,1752424098093,True,True
trade,1752424098211,BTCUSDT,5081837323,118840.85000000,0.00966000,1752424098210,False,True
trade,1752424098962,BTCUSDT,5081837324,118840.85000000,0.00007000,1752424098962,False,True
trade,1752424098971,BTCUSDT,5081837325,118840.84000000,0.00082000,1752424098970,True,True
trade,1752424098981,BTCUSDT,5081837326,118840.85000000,0.01194000,1752424098980,False,True
trade,1752424099051,BTCUSDT,5081837327,118840.85000000,0.00067000,1752424099051,False,True
trade,1752424099095,BTCUSDT,5081837328,118840.84000000,0.00084000,1752424099094,True,True
trade,1752424099095,BTCUSDT,5081837329,118840.84000000,0.00252000,1752424099095,True,True
trade,1752424099115,BTCUSDT,5081837330,118840.84000000,0.01299000,1752424099114,True,True
trade,1752424099115,BTCUSDT,5081837331,118840.84000000,0.00005000,1752424099114,True,True
trade,1752424099115,BTCUSDT,5081837332,118840.84000000,0.00005000,1752424099114,True,True
trade,1752424099115,BTCUSDT,5081837333,118840.84000000,0.00005000,1752424099114,True,True
trade,1752424099115,BTCUSDT,5081837334,118840.84000000,0.00200000,1752424099114,True,True
trade,1752424099115,BTCUSDT,5081837335,118840.84000000,0.00050000,1752424099114,True,True
trade,1752424099115,BTCUSDT,5081837336,118840.84000000,0.00776000,1752424099114,True,True
trade,1752424099123,BTCUSDT,5081837337,118840.84000000,0.00022000,1752424099123,True,True
trade,1752424099182,BTCUSDT,5081837338,118840.84000000,0.00017000,1752424099181,True,True
trade,1752424099183,BTCUSDT,5081837339,118840.84000000,0.00050000,1752424099182,True,True
trade,1752424099337,BTCUSDT,5081837340,118840.85000000,0.00025000,1752424099336,False,True
trade,1752424099390,BTCUSDT,5081837341,118840.84000000,0.01135000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837342,118840.84000000,0.00008000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837343,118840.84000000,0.01178000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837344,118840.84000000,0.00104000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837345,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837346,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837347,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837348,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837349,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837350,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837351,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837352,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837353,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837354,118840.84000000,0.00010000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837355,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837356,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837357,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837358,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837359,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837360,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837361,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837362,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837363,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837364,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837365,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837366,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837367,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837368,118840.84000000,0.02109000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837369,118840.84000000,0.00326000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837370,118840.84000000,0.00050000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837371,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837372,118840.84000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837373,118840.83000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837374,118840.83000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837375,118840.83000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837376,118840.83000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837377,118840.83000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837378,118840.83000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837379,118840.83000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837380,118840.00000000,0.00005000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837381,118840.00000000,0.00010000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837382,118840.00000000,0.00001000,1752424099389,True,True
trade,1752424099390,BTCUSDT,5081837383,118840.00000000,0.00005000,1752424099389,True,True
trade,1752424099400,BTCUSDT,5081837384,118838.63000000,0.00005000,1752424099400,True,True
trade,1752424099400,BTCUSDT,5081837385,118838.63000000,0.00005000,1752424099400,True,True
trade,1752424099400,BTCUSDT,5081837386,118838.63000000,0.00005000,1752424099400,True,True
trade,1752424099400,BTCUSDT,5081837387,118838.63000000,0.00001000,1752424099400,True,True
trade,1752424099404,BTCUSDT,5081837388,118838.63000000,0.00004000,1752424099404,True,True
trade,1752424099404,BTCUSDT,5081837389,118838.63000000,0.00005000,1752424099404,True,True
trade,1752424099404,BTCUSDT,5081837390,118838.63000000,0.00005000,1752424099404,True,True
trade,1752424099404,BTCUSDT,5081837391,118838.63000000,0.00005000,1752424099404,True,True
trade,1752424099404,BTCUSDT,5081837392,118838.63000000,0.00005000,1752424099404,True,True
trade,1752424099404,BTCUSDT,5081837393,118838.63000000,0.00005000,1752424099404,True,True
trade,1752424099404,BTCUSDT,5081837394,118838.63000000,0.00005000,1752424099404,True,True
